,stock_code,release_date,report_year
233,02378.HK,2018-04-10,2017
234,03318.HK,2018-04-10,2017
235,00853.HK,2018-04-11,2017
236,02331.HK,2018-04-11,2017
237,01300.HK,2018-04-11,2017
238,00929.HK,2018-04-11,2017
239,02399.HK,2018-04-11,2017
240,01107.HK,2018-04-11,2017
241,01866.HK,2018-04-11,2017
242,03888.HK,2018-04-11,2017
243,03996.HK,2018-04-11,2017
244,00830.HK,2018-04-11,2017
245,02283.HK,2018-04-11,2017
246,06868.HK,2018-04-12,2017
247,01345.HK,2018-04-12,2017
248,00826.HK,2018-04-12,2017
249,06885.HK,2018-04-12,2017
250,03919.HK,2018-04-12,2017
251,01868.HK,2018-04-12,2017
252,00728.HK,2018-04-12,2017
253,00535.HK,2018-04-12,2017
254,03315.HK,2018-04-12,2017
255,00075.HK,2018-04-12,2017
256,00207.HK,2018-04-12,2017
257,00662.HK,2018-04-12,2017
258,02005.HK,2018-04-12,2017
259,00533.HK,2018-04-12,2017
260,00851.HK,2018-04-12,2017
261,00771.HK,2018-04-12,2017
262,02166.HK,2018-04-13,2017
263,00715.HK,2018-04-13,2017
264,00697.HK,2018-04-13,2017
265,00730.HK,2018-04-13,2017
266,01447.HK,2018-04-13,2017
267,02255.HK,2018-04-13,2017
268,00941.HK,2018-04-13,2017
269,08187.HK,2018-04-13,2017
270,03366.HK,2018-04-13,2017
271,01813.HK,2018-04-13,2017
272,01215.HK,2018-04-13,2017
273,01199.HK,2018-04-13,2017
274,00062.HK,2018-04-16,2017
275,00299.HK,2018-04-16,2017
276,01253.HK,2018-04-16,2017
277,02768.HK,2018-04-16,2017
278,00062.HK,2018-04-16,2017
279,00902.HK,2018-04-16,2017
280,01233.HK,2018-04-16,2017
281,01385.HK,2018-04-16,2017
282,00543.HK,2018-04-16,2017
283,02068.HK,2018-04-16,2017
284,03939.HK,2018-04-16,2017
285,00220.HK,2018-04-16,2017
286,06116.HK,2018-04-16,2017
287,00901.HK,2018-04-16,2017
288,00103.HK,2018-04-16,2017
289,00752.HK,2018-04-16,2017
290,02111.HK,2018-04-16,2017
291,00272.HK,2018-04-16,2017
292,01241.HK,2018-04-16,2017
293,01676.HK,2018-04-16,2017
294,06836.HK,2018-04-17,2017
295,02196.HK,2018-04-17,2017
296,01298.HK,2018-04-17,2017
297,00271.HK,2018-04-17,2017
298,02340.HK,2018-04-17,2017
299,00563.HK,2018-04-17,2017
300,02380.HK,2018-04-17,2017
301,00984.HK,2018-04-17,2017
302,00952.HK,2018-04-17,2017
303,00245.HK,2018-04-17,2017
304,00028.HK,2018-04-17,2017
305,00146.HK,2018-04-17,2017
306,00436.HK,2018-04-17,2017
307,02388.HK,2018-04-17,2017
308,01180.HK,2018-04-17,2017
309,01693.HK,2018-04-17,2017
310,00465.HK,2018-04-17,2017
311,01232.HK,2018-04-17,2017
312,00613.HK,2018-04-17,2017
313,03368.HK,2018-04-17,2017
314,00366.HK,2018-04-17,2017
315,03788.HK,2018-04-17,2017
316,00720.HK,2018-04-17,2017
317,02388.HK,2018-04-17,2017
318,01728.HK,2018-04-17,2017
319,02028.HK,2018-04-17,2017
320,02883.HK,2018-04-17,2017
321,00511.HK,2018-04-18,2017
322,00658.HK,2018-04-18,2017
323,08310.HK,2018-04-18,2017
324,00347.HK,2018-04-18,2017
325,01255.HK,2018-04-18,2017
326,00050.HK,2018-04-18,2017
327,00310.HK,2018-04-18,2017
328,00800.HK,2018-04-18,2017
329,01561.HK,2018-04-18,2017
330,01388.HK,2018-04-18,2017
331,01823.HK,2018-04-18,2017
332,00472.HK,2018-04-18,2017
333,01305.HK,2018-04-18,2017
334,00676.HK,2018-04-18,2017
335,00987.HK,2018-04-18,2017
336,01128.HK,2018-04-18,2017
337,00484.HK,2018-04-18,2017
338,00620.HK,2018-04-18,2017
339,00032.HK,2018-04-18,2017
340,01083.HK,2018-04-18,2017
341,03332.HK,2018-04-18,2017
342,01349.HK,2018-04-18,2017
343,03688.HK,2018-04-18,2017
344,00086.HK,2018-04-19,2017
345,00696.HK,2018-04-19,2017
346,01208.HK,2018-04-19,2017
347,00379.HK,2018-04-19,2017
348,00878.HK,2018-04-19,2017
349,00390.HK,2018-04-19,2017
350,02728.HK,2018-04-19,2017
351,00926.HK,2018-04-19,2017
352,03328.HK,2018-04-19,2017
353,06083.HK,2018-04-19,2017
354,01938.HK,2018-04-19,2017
355,00511.HK,2018-04-19,2017
356,02023.HK,2018-04-19,2017
357,00990.HK,2018-04-19,2017
358,00206.HK,2018-04-19,2017
359,00356.HK,2018-04-19,2017
360,00822.HK,2018-04-19,2017
361,00622.HK,2018-04-19,2017
362,00653.HK,2018-04-19,2017
363,00724.HK,2018-04-19,2017
364,01097.HK,2018-04-19,2017
365,00239.HK,2018-04-19,2017
366,01420.HK,2018-04-19,2017
367,01452.HK,2018-04-19,2017
368,02012.HK,2018-04-19,2017
369,00496.HK,2018-04-19,2017
370,00339.HK,2018-04-19,2017
371,00212.HK,2018-04-19,2017
372,00544.HK,2018-04-19,2017
373,01826.HK,2018-04-19,2017
374,02122.HK,2018-04-19,2017
375,01808.HK,2018-04-19,2017
376,01612.HK,2018-04-19,2017
377,00906.HK,2018-04-19,2017
378,00229.HK,2018-04-19,2017
379,00956.HK,2018-04-19,2017
380,00709.HK,2018-04-19,2017
381,06118.HK,2018-04-19,2017
382,03628.HK,2018-04-19,2017
383,02356.HK,2018-04-19,2017
384,03838.HK,2018-04-19,2017
385,00173.HK,2018-04-19,2017
386,01381.HK,2018-04-19,2017
387,06899.HK,2018-04-19,2017
388,00082.HK,2018-04-19,2017
389,02198.HK,2018-04-19,2017
390,00369.HK,2018-04-19,2017
391,00883.HK,2018-04-19,2017
392,01986.HK,2018-04-19,2017
393,03330.HK,2018-04-19,2017
394,02239.HK,2018-04-19,2017
395,00440.HK,2018-04-19,2017
396,01626.HK,2018-04-19,2017
397,00538.HK,2018-04-19,2017
398,02336.HK,2018-04-20,2017
399,03623.HK,2018-04-20,2017
400,00267.HK,2018-04-20,2017
401,00915.HK,2018-04-20,2017
402,03329.HK,2018-04-20,2017
403,06066.HK,2018-04-20,2017
404,00551.HK,2018-04-20,2017
405,00947.HK,2018-04-20,2017
406,00111.HK,2018-04-20,2017
407,03813.HK,2018-04-20,2017
408,01065.HK,2018-04-20,2017
409,00373.HK,2018-04-20,2017
410,00586.HK,2018-04-20,2017
411,01105.HK,2018-04-20,2017
412,06188.HK,2018-04-20,2017
413,01289.HK,2018-04-20,2017
414,00527.HK,2018-04-20,2017
415,06878.HK,2018-04-20,2017
416,01706.HK,2018-04-20,2017
417,02699.HK,2018-04-20,2017
418,01629.HK,2018-04-20,2017
419,00450.HK,2018-04-20,2017
420,01722.HK,2018-04-20,2017
421,00881.HK,2018-04-20,2017
422,01520.HK,2018-04-20,2017
423,00181.HK,2018-04-20,2017
424,06030.HK,2018-04-20,2017
425,03689.HK,2018-04-20,2017
426,00871.HK,2018-04-20,2017
427,01395.HK,2018-04-20,2017
428,02869.HK,2018-04-23,2017
429,02320.HK,2018-04-23,2017
430,00256.HK,2018-04-23,2017
431,00230.HK,2018-04-23,2017
