,stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
560,01008.HK,14/05/2018,29/04/2019,27/04/2020,28/04/2021,28/04/2022,27/04/2023,
561,08098.HK,29/06/2017,28/06/2018,27/06/2019,29/06/2020,29/06/2021,28/06/2022,28/06/2023
562,08153.HK,29/06/2017,29/06/2018,02/07/2019,21/09/2020,01/07/2021,14/08/2022,02/07/2023
563,08079.HK,08/04/2020,28/06/2018,29/06/2020,25/06/2021,26/06/2022,25/06/2023,
564,08221.HK,29/06/2017,28/06/2018,27/06/2019,27/08/2020,29/09/2021,11/08/2022,29/06/2023
565,08268.HK,29/06/2017,31/08/2018,30/08/2019,28/08/2020,03/09/2021,26/08/2022,30/06/2023
566,00765.HK,29/06/2018,21/06/2019,07/07/2020,30/06/2021,16/05/2022,27/04/2023,
567,01194.HK,26/06/2018,25/06/2019,29/06/2020,17/06/2021,30/05/2022,,
568,01330.HK,31/05/2018,28/03/2019,29/03/2020,30/03/2021,30/03/2022,31/03/2023,
569,08317.HK,29/06/2018,28/06/2019,02/07/2020,30/06/2021,30/06/2022,30/06/2023,
570,06133.HK,20/07/2018,19/07/2019,09/10/2020,28/07/2021,30/05/2022,26/04/2023,
571,08091.HK,28/06/2018,27/06/2019,29/06/2020,29/06/2021,29/06/2022,29/06/2023,
572,08213.HK,29/06/2018,28/06/2019,29/06/2020,30/06/2021,29/06/2022,29/06/2023,
573,08296.HK,27/06/2018,27/06/2019,31/08/2020,16/07/2021,20/05/2022,31/03/2023,
574,01133.HK,28/06/2018,28/06/2019,30/06/2020,31/05/2021,22/04/2022,21/04/2023,
575,08217.HK,29/06/2017,28/06/2018,28/06/2019,29/06/2020,28/06/2021,23/06/2022,28/06/2023
576,00004.HK,29/06/2018,02/07/2019,15/05/2020,26/05/2021,27/05/2022,04/04/2023,
577,00683.HK,29/06/2018,28/06/2019,30/06/2020,28/05/2021,30/05/2022,26/04/2023,
578,01218.HK,,31/07/2018,28/06/2019,06/07/2020,,,
579,00719.HK,13/06/2018,26/04/2019,27/04/2020,26/04/2021,26/04/2022,20/04/2023,
580,08143.HK,26/09/2018,25/09/2019,23/09/2020,17/09/2021,19/08/2022,29/06/2023,
581,01340.HK,29/06/2018,28/06/2019,17/09/2020,28/10/2021,31/05/2022,27/04/2023,
582,08316.HK,29/06/2017,20/09/2018,16/09/2019,25/09/2020,29/09/2021,26/08/2022,29/06/2023
583,08026.HK,29/06/2018,27/06/2019,02/07/2020,30/06/2021,29/06/2022,30/06/2023,
584,00046.HK,14/06/2018,25/06/2019,29/05/2020,27/05/2021,18/05/2022,25/04/2023,
585,01319.HK,29/06/2017,29/06/2018,26/09/2019,28/09/2020,30/09/2021,29/07/2022,30/06/2023
586,00570.HK,25/07/2018,12/07/2019,24/06/2020,21/04/2021,28/04/2022,28/04/2023,
587,00542.HK,15/06/2018,28/06/2019,24/07/2020,26/05/2021,10/06/2022,27/04/2023,
588,06099.HK,28/03/2018,29/03/2019,29/03/2020,26/03/2021,27/03/2022,24/03/2023,
589,02066.HK,13/07/2018,15/07/2019,17/07/2020,06/07/2021,27/05/2022,26/04/2023,
590,08181.HK,27/06/2018,27/06/2019,29/06/2020,30/06/2021,30/06/2022,30/06/2023,
591,03618.HK,10/05/2018,20/05/2019,27/03/2020,31/03/2021,30/03/2022,30/03/2023,
592,00913.HK,26/04/2018,30/04/2019,24/04/2020,29/04/2021,31/05/2022,27/04/2023,
593,00948.HK,28/06/2017,19/07/2018,11/09/2019,28/08/2020,25/08/2021,31/08/2022,27/07/2023
594,00346.HK,29/06/2018,22/07/2019,24/06/2020,23/06/2021,10/05/2022,05/05/2023,
595,08211.HK,25/06/2018,,05/06/2020,31/05/2021,,30/03/2023,
596,08062.HK,28/06/2017,29/06/2018,28/06/2019,29/06/2020,29/06/2021,30/06/2022,30/06/2023
597,02669.HK,12/07/2018,08/07/2019,14/07/2020,28/05/2021,27/05/2022,25/04/2023,
598,06886.HK,28/03/2018,29/03/2019,30/03/2020,23/03/2021,30/03/2022,30/03/2023,
599,08178.HK,28/06/2018,28/06/2019,29/06/2020,29/06/2021,30/05/2022,30/03/2023,
600,06881.HK,28/03/2018,27/03/2019,29/03/2020,29/03/2021,30/03/2022,30/03/2023,
601,00392.HK,10/07/2018,23/07/2019,15/07/2020,16/07/2021,31/05/2022,27/04/2023,
602,01141.HK,27/04/2018,30/04/2019,29/04/2020,29/04/2021,29/04/2022,27/04/2023,
603,00135.HK,20/06/2018,13/06/2019,15/07/2020,03/06/2021,24/05/2022,20/04/2023,
604,08188.HK,22/06/2018,24/06/2019,22/06/2020,22/06/2021,30/05/2022,30/03/2023,
605,00157.HK,18/07/2018,28/06/2019,05/03/2021,02/07/2021,16/05/2022,12/04/2023,
606,02738.HK,24/06/2018,27/06/2019,14/05/2020,30/06/2021,31/05/2022,27/04/2023,
607,01717.HK,05/07/2018,27/06/2019,21/05/2020,07/05/2021,18/05/2022,26/04/2023,
608,08411.HK,26/04/2018,29/04/2019,13/05/2020,24/05/2021,13/05/2022,30/03/2023,
609,01586.HK,29/06/2018,08/07/2019,28/07/2020,30/07/2021,28/04/2022,28/04/2023,
610,00311.HK,27/06/2018,26/06/2019,22/06/2020,28/05/2021,27/05/2022,25/04/2023,
611,01663.HK,26/06/2018,16/07/2019,21/07/2020,20/07/2021,28/07/2022,28/07/2023,
612,08315.HK,27/06/2017,11/09/2018,26/09/2019,28/09/2020,29/09/2021,29/06/2022,29/06/2023
613,06138.HK,28/06/2018,18/06/2019,22/05/2020,28/05/2021,31/05/2022,27/04/2023,
614,00312.HK,01/06/2018,04/07/2019,22/06/2020,30/06/2021,30/05/2022,28/04/2023,
615,02289.HK,10/07/2018,12/07/2019,20/07/2020,09/06/2021,27/05/2022,28/04/2023,
616,00817.HK,25/06/2018,19/06/2019,24/06/2020,25/06/2021,31/05/2022,24/04/2023,
617,08218.HK,26/06/2017,26/06/2018,24/06/2019,29/06/2020,28/06/2021,15/07/2022,28/06/2023
618,00751.HK,03/07/2018,18/07/2019,18/06/2020,23/06/2021,28/04/2022,20/04/2023,
619,01238.HK,29/06/2018,28/06/2019,27/05/2020,21/06/2021,31/05/2022,24/04/2023,
620,03778.HK,,,,23/07/2021,29/04/2022,27/04/2023,
621,08179.HK,25/06/2018,28/06/2019,13/05/2020,30/06/2021,27/05/2022,31/03/2023,
622,00823.HK,21/06/2018,20/06/2019,17/06/2020,28/06/2021,16/06/2022,15/06/2023,
623,02777.HK,09/04/2018,02/04/2019,08/04/2020,19/04/2021,18/08/2022,27/04/2023,
624,03360.HK,05/07/2018,26/06/2019,02/07/2020,25/06/2021,19/05/2022,24/04/2023,
625,02319.HK,10/07/2018,24/07/2019,10/07/2020,21/06/2021,30/05/2022,26/04/2023,
626,01266.HK,19/06/2018,12/07/2019,31/07/2020,31/05/2021,27/05/2022,27/04/2023,
627,00241.HK,25/06/2017,19/07/2018,09/06/2019,29/06/2020,29/06/2021,05/07/2022,13/07/2023
628,08329.HK,14/05/2018,13/06/2019,21/04/2020,12/05/2021,13/05/2022,28/03/2023,
629,00612.HK,26/03/2018,,,14/04/2021,28/04/2022,27/04/2023,
630,00976.HK,17/07/2018,17/07/2019,10/08/2020,22/07/2021,31/05/2022,26/04/2023,
631,00033.HK,24/07/2018,29/07/2019,10/07/2020,,29/10/2021,11/11/2022,31/10/2023
632,02348.HK,21/06/2018,17/06/2019,19/06/2020,07/06/2021,31/05/2022,25/04/2023,
633,01570.HK,26/06/2018,28/06/2019,29/04/2020,29/04/2021,27/04/2022,26/04/2023,
634,08206.HK,22/06/2018,21/06/2019,29/06/2020,25/06/2021,24/06/2022,30/06/2023,
635,01061.HK,26/06/2018,06/06/2019,10/06/2020,07/05/2021,29/04/2022,29/03/2023,
636,08283.HK,29/06/2018,06/06/2019,30/06/2020,26/10/2021,27/05/2022,28/03/2023,
637,00253.HK,20/07/2018,15/07/2019,18/05/2020,26/04/2021,26/05/2022,25/04/2023,
638,08232.HK,29/06/2018,26/06/2019,29/06/2020,02/07/2021,31/05/2022,31/03/2023,
639,00219.HK,20/07/2018,15/07/2019,18/05/2020,26/04/2021,26/05/2022,25/04/2023,
640,00201.HK,20/07/2018,15/07/2019,18/05/2020,26/04/2021,26/05/2022,25/04/2023,
641,01599.HK,29/06/2018,08/05/2019,22/04/2020,22/04/2021,21/04/2022,20/04/2023,
642,02358.HK,26/06/2018,27/06/2019,30/06/2020,28/05/2021,31/05/2022,28/04/2023,
643,02088.HK,06/07/2018,25/06/2019,31/07/2020,01/06/2021,27/05/2022,28/04/2023,
644,01803.HK,25/07/2018,26/07/2019,24/07/2020,19/07/2021,27/05/2022,26/04/2023,
645,02233.HK,03/07/2018,11/06/2019,17/07/2020,30/07/2021,,21/04/2023,
646,08027.HK,20/06/2018,19/06/2019,16/06/2020,02/06/2021,27/05/2022,02/04/2023,
647,01575.HK,29/03/2018,10/09/2019,29/07/2020,16/07/2021,31/05/2022,28/04/2023,
648,01301.HK,06/07/2018,28/06/2019,17/06/2020,30/06/2021,30/05/2022,21/04/2023,
649,00842.HK,16/07/2018,19/07/2019,08/07/2020,11/06/2021,21/04/2022,24/04/2023,
650,00978.HK,28/06/2018,25/06/2019,07/07/2020,09/07/2021,27/05/2022,28/04/2023,
651,08307.HK,21/06/2018,27/06/2019,29/06/2020,25/06/2021,27/06/2022,28/06/2023,
652,00316.HK,28/06/2018,30/04/2019,22/04/2020,29/04/2021,27/04/2022,25/04/2023,
653,00023.HK,28/06/2018,25/06/2019,02/06/2020,31/05/2021,27/05/2022,28/03/2023,
654,08331.HK,11/06/2018,29/03/2019,29/04/2020,31/03/2021,27/03/2022,02/07/2023,
655,08292.HK,20/06/2018,28/06/2019,30/06/2020,31/05/2021,,,
656,08337.HK,26/06/2018,25/06/2019,24/06/2020,15/06/2021,17/05/2022,31/03/2023,
657,08139.HK,25/06/2018,27/06/2019,30/06/2020,29/06/2021,30/05/2022,31/03/2023,
658,08349.HK,28/03/2018,,05/05/2020,25/03/2021,28/03/2022,,
659,00703.HK,28/06/2018,28/06/2019,07/04/2020,15/04/2021,19/04/2022,27/04/2023,
660,08076.HK,20/06/2018,19/06/2019,17/06/2020,21/06/2021,30/05/2022,22/03/2023,
661,01656.HK,11/06/2018,27/05/2019,22/05/2020,21/05/2021,26/04/2022,28/03/2023,
662,08045.HK,29/06/2018,27/06/2019,26/06/2020,30/06/2021,31/05/2022,16/05/2023,
663,00244.HK,21/06/2018,19/06/2019,16/06/2020,14/07/2021,28/04/2022,27/04/2023,
664,02012.HK,19/04/2018,26/07/2019,27/04/2020,12/05/2021,29/04/2022,25/04/2023,
665,01120.HK,28/06/2018,27/06/2019,29/06/2020,25/06/2021,24/05/2022,25/04/2023,
666,00743.HK,25/06/2018,25/06/2019,29/06/2020,28/05/2021,24/05/2022,25/04/2023,
667,08333.HK,14/06/2018,20/06/2019,19/06/2020,31/05/2021,30/05/2022,30/03/2023,
668,01513.HK,11/06/2018,17/06/2019,08/04/2020,31/05/2021,26/05/2022,28/04/2023,
669,01572.HK,15/06/2018,15/07/2019,29/07/2020,30/04/2021,27/05/2022,28/04/2023,
670,00800.HK,18/04/2018,17/04/2019,28/04/2020,28/04/2021,25/04/2022,25/04/2023,
671,08432.HK,29/06/2018,27/06/2019,29/06/2020,29/06/2021,30/06/2022,29/06/2023,
672,00883.HK,19/04/2018,11/04/2019,15/04/2020,13/04/2021,12/04/2022,11/04/2023,
673,08033.HK,26/03/2018,28/03/2019,30/03/2020,25/03/2021,13/04/2022,30/03/2023,
674,08282.HK,23/04/2018,06/05/2019,08/05/2020,10/05/2021,05/05/2022,28/03/2023,
675,00236.HK,04/06/2018,24/06/2019,16/06/2020,04/06/2021,05/05/2022,31/03/2023,
676,00185.HK,13/06/2018,18/06/2019,19/05/2020,28/05/2021,25/05/2022,26/04/2023,
677,03322.HK,16/07/2018,12/07/2019,15/07/2020,18/05/2021,30/05/2022,26/04/2023,
678,03320.HK,28/06/2018,27/06/2019,26/05/2020,28/04/2021,27/04/2022,26/04/2023,
679,00210.HK,22/06/2018,15/04/2019,15/04/2020,15/04/2021,13/04/2022,13/04/2023,
680,00641.HK,15/06/2018,13/06/2019,15/06/2020,31/05/2021,10/05/2022,24/04/2023,
681,01039.HK,22/06/2018,24/05/2019,27/07/2020,29/06/2021,20/05/2022,28/04/2023,
682,02218.HK,26/06/2018,26/06/2019,12/06/2020,30/03/2021,30/03/2022,31/03/2023,
683,01297.HK,26/04/2018,24/04/2019,27/04/2020,23/04/2021,28/04/2022,27/04/2023,
684,01072.HK,28/05/2018,05/07/2019,28/05/2020,27/05/2021,27/05/2022,31/03/2023,
685,08246.HK,08/06/2018,28/03/2019,22/06/2020,28/05/2021,10/05/2022,30/03/2023,
686,00778.HK,15/05/2018,23/05/2019,22/05/2020,11/06/2021,21/04/2022,13/04/2023,
687,00616.HK,,,20/06/2019,18/06/2020,14/07/2021,22/07/2022,21/07/2023
688,01929.HK,15/06/2017,14/06/2018,14/06/2019,19/06/2020,16/06/2021,16/06/2022,15/06/2023
689,08103.HK,14/06/2017,02/07/2018,27/09/2019,28/09/2020,28/09/2021,07/02/2023,
690,01313.HK,22/06/2018,20/03/2019,08/04/2020,24/03/2021,13/04/2022,28/04/2023,
691,08203.HK,27/06/2018,28/06/2019,30/06/2020,30/06/2021,31/05/2022,02/04/2023,
692,01210.HK,24/05/2018,28/07/2019,28/08/2020,30/07/2021,01/06/2022,,
693,08439.HK,28/06/2018,27/06/2019,29/06/2020,29/06/2021,23/06/2022,27/06/2023,
694,00347.HK,18/04/2018,11/04/2019,24/04/2020,31/03/2021,30/03/2022,30/03/2023,
695,00813.HK,16/07/2018,18/07/2019,20/07/2020,28/05/2021,30/05/2022,28/04/2023,
696,06808.HK,06/06/2018,20/06/2019,08/06/2020,31/08/2021,29/08/2022,29/06/2023,
697,00089.HK,01/06/2018,21/06/2019,11/06/2020,07/06/2021,26/04/2022,20/04/2023,
698,00303.HK,12/06/2017,06/06/2018,06/06/2019,05/06/2020,07/06/2021,08/06/2022,14/06/2023
699,00698.HK,04/07/2018,02/07/2019,08/06/2020,23/06/2021,30/05/2022,17/04/2023,
700,00326.HK,25/06/2018,28/06/2019,23/06/2020,27/05/2021,27/05/2022,28/04/2023,
701,01699.HK,13/07/2018,12/07/2019,20/07/2020,23/07/2021,,,
702,02226.HK,12/06/2018,19/07/2019,14/08/2020,29/09/2022,29/09/2022,24/04/2023,
703,01085.HK,,,,21/05/2021,20/05/2022,24/03/2023,
704,02607.HK,13/06/2018,06/06/2019,19/05/2020,31/05/2021,31/05/2022,27/04/2023,
705,01823.HK,18/04/2018,02/05/2019,23/06/2020,24/06/2021,24/05/2022,20/04/2023,
706,00769.HK,01/06/2018,20/05/2019,29/04/2020,27/04/2021,03/05/2022,26/04/2023,
707,03808.HK,25/07/2018,04/06/2019,06/05/2020,18/05/2021,27/05/2022,28/04/2023,
708,01052.HK,22/06/2018,19/07/2019,28/04/2020,18/06/2021,30/05/2022,25/04/2023,
709,00585.HK,25/04/2018,11/04/2019,28/04/2020,16/04/2021,27/04/2022,26/04/2023,
710,02878.HK,19/06/2018,21/06/2019,10/07/2020,20/07/2021,27/05/2022,27/04/2023,
711,01090.HK,06/06/2018,15/07/2019,10/07/2020,13/07/2021,26/05/2022,26/04/2023,
712,03882.HK,01/06/2018,02/07/2019,07/07/2020,12/07/2021,21/04/2022,26/04/2023,
713,01262.HK,31/05/2018,26/06/2019,26/06/2020,30/06/2021,31/05/2022,27/04/2023,
714,03989.HK,01/06/2018,28/06/2019,28/05/2020,31/05/2021,27/04/2022,27/04/2023,
715,01075.HK,27/07/2018,15/07/2019,24/07/2020,29/06/2021,05/05/2022,27/04/2023,
716,01205.HK,25/06/2018,05/07/2019,26/06/2020,15/06/2021,31/05/2022,27/04/2023,
717,00066.HK,21/05/2018,28/05/2019,09/04/2020,15/04/2021,13/04/2022,13/04/2023,
718,01199.HK,13/04/2018,12/04/2019,14/04/2020,19/04/2021,19/04/2022,18/04/2023,
719,01203.HK,01/06/2018,27/06/2019,22/07/2020,12/07/2021,27/05/2022,26/04/2023,
720,00643.HK,31/05/2018,28/06/2019,30/06/2020,31/05/2021,31/05/2022,21/04/2023,
721,00357.HK,28/06/2018,18/04/2019,22/04/2020,20/05/2021,20/04/2022,24/04/2023,
722,01919.HK,27/04/2018,02/05/2019,27/04/2020,29/04/2021,26/04/2022,25/04/2023,
723,00522.HK,31/05/2018,31/05/2019,19/06/2020,28/06/2021,31/05/2022,31/03/2023,
724,01448.HK,12/07/2018,19/05/2019,24/04/2020,30/04/2021,28/04/2022,24/04/2023,
725,02030.HK,11/05/2018,14/05/2019,29/05/2020,10/05/2021,16/05/2022,24/03/2023,
726,00988.HK,27/04/2018,29/04/2019,,29/04/2021,28/04/2022,27/04/2023,
727,01528.HK,25/05/2018,04/06/2019,13/07/2020,29/06/2021,30/05/2022,28/04/2023,
728,00829.HK,29/05/2018,03/06/2019,26/06/2020,18/06/2021,26/05/2022,24/04/2023,
729,01966.HK,13/06/2018,26/06/2019,17/07/2020,08/07/2021,27/05/2022,17/04/2023,
730,00257.HK,12/06/2018,28/06/2019,03/07/2020,05/07/2021,31/05/2022,26/04/2023,
731,02120.HK,23/07/2018,26/07/2019,24/07/2020,23/07/2021,26/05/2022,10/05/2023,
732,00175.HK,25/05/2018,17/06/2019,22/04/2020,07/05/2021,30/05/2022,21/04/2023,
733,00106.HK,11/07/2018,08/07/2019,05/06/2020,04/06/2021,27/05/2022,28/04/2023,
734,00297.HK,30/05/2018,12/06/2019,16/06/2020,26/05/2021,27/05/2022,21/04/2023,
735,01888.HK,11/07/2018,10/07/2019,17/07/2020,15/07/2021,30/05/2022,24/04/2023,
736,00148.HK,11/07/2018,10/07/2019,17/07/2020,15/07/2021,30/05/2022,24/04/2023,
737,00048.HK,,,,,,,
738,01117.HK,25/04/2018,21/05/2019,26/06/2020,27/07/2021,31/05/2022,26/04/2023,
739,03898.HK,17/05/2018,24/05/2019,22/05/2020,20/05/2021,29/03/2022,30/03/2023,
740,00011.HK,24/04/2018,17/05/2019,18/05/2020,31/05/2021,25/05/2022,23/03/2023,
741,02020.HK,21/05/2018,22/05/2019,19/06/2020,27/05/2021,18/05/2022,30/03/2023,
742,01788.HK,18/05/2018,22/07/2019,10/07/2020,27/05/2021,31/05/2022,27/04/2023,
743,00900.HK,15/05/2018,10/05/2019,14/05/2020,20/05/2021,19/05/2022,18/05/2023,
744,01812.HK,26/06/2018,28/06/2019,29/06/2020,29/06/2021,30/05/2022,30/03/2023,
745,00288.HK,28/06/2018,05/07/2019,16/07/2020,20/07/2021,27/05/2022,24/04/2023,
746,03889.HK,04/05/2018,19/06/2019,28/04/2020,23/04/2021,12/05/2022,24/04/2023,
747,08173.HK,10/06/2018,16/06/2019,26/06/2020,29/06/2021,28/06/2022,25/06/2023,
748,00168.HK,11/05/2018,09/05/2019,15/06/2020,13/05/2021,26/05/2022,24/04/2023,
749,02378.HK,16/05/2018,10/05/2019,01/04/2020,12/04/2021,21/04/2022,20/04/2023,
750,00255.HK,,,,,08/04/2022,11/04/2023,
751,00195.HK,26/07/2018,16/07/2019,15/07/2020,07/06/2021,16/05/2022,18/04/2023,
752,02018.HK,09/05/2018,18/04/2019,14/04/2020,15/04/2021,06/04/2022,17/04/2023,
753,00419.HK,06/07/2018,28/06/2019,29/05/2020,30/05/2022,31/05/2022,,
754,00818.HK,,10/05/2019,20/05/2020,01/06/2021,03/05/2022,18/04/2023,
755,02389.HK,20/07/2018,15/07/2019,17/07/2020,09/07/2021,18/05/2022,20/04/2023,
756,00626.HK,17/05/2018,15/05/2019,29/04/2020,17/05/2021,31/05/2022,27/02/2023,
757,00432.HK,28/03/2018,01/04/2019,30/03/2020,31/03/2021,31/03/2022,30/03/2023,
758,01359.HK,21/05/2018,29/04/2019,24/04/2020,22/04/2021,28/04/2022,27/04/2023,
759,00688.HK,30/05/2018,30/05/2019,29/05/2020,28/05/2021,19/05/2022,27/04/2023,
760,01108.HK,25/04/2018,07/05/2019,15/05/2020,13/05/2021,26/04/2022,20/04/2023,
761,00670.HK,23/04/2018,25/04/2019,24/04/2020,27/04/2021,27/04/2022,28/04/2023,
762,01049.HK,26/04/2018,29/04/2019,28/04/2020,08/04/2021,22/04/2022,20/04/2023,
763,00511.HK,19/04/2018,15/04/2019,21/04/2020,20/04/2021,19/04/2022,20/04/2023,
764,01811.HK,16/07/2018,18/07/2019,13/07/2020,12/07/2021,27/05/2022,19/04/2023,
765,00568.HK,30/04/2018,26/04/2019,24/04/2020,30/06/2021,27/05/2022,31/03/2023,
766,01393.HK,,30/04/2019,15/05/2020,03/10/2021,29/04/2022,28/04/2023,
767,01281.HK,30/04/2018,30/04/2019,19/05/2020,28/05/2021,25/05/2022,20/04/2023,
768,00750.HK,30/04/2018,02/09/2019,31/07/2020,19/07/2021,30/05/2022,25/04/2023,
769,01053.HK,22/03/2018,10/05/2019,23/04/2020,18/05/2021,30/03/2022,27/04/2023,
770,01800.HK,30/04/2018,30/04/2019,24/04/2020,19/07/2021,13/05/2022,28/04/2023,
771,01580.HK,24/07/2018,22/07/2019,21/07/2020,30/07/2021,30/05/2022,31/07/2023,
772,00582.HK,26/03/2018,29/04/2019,15/05/2020,27/04/2021,26/04/2022,25/04/2023,
773,00439.HK,26/04/2018,30/04/2019,13/05/2020,28/04/2021,28/04/2022,27/04/2023,
774,00640.HK,,,,,,18/01/2023,
775,01305.HK,18/04/2018,18/04/2019,17/04/2020,19/04/2021,29/04/2022,21/04/2023,
776,03336.HK,,10/05/2019,27/05/2020,14/05/2021,30/05/2022,14/04/2023,
777,00712.HK,27/04/2018,30/04/2019,27/04/2020,,30/06/2022,28/04/2023,
778,00005.HK,06/03/2018,05/03/2019,10/03/2020,23/03/2021,24/03/2022,23/03/2023,
779,01658.HK,27/04/2018,25/04/2019,25/03/2020,29/03/2021,30/03/2022,30/03/2023,
780,01910.HK,07/05/2018,15/07/2019,29/04/2020,07/05/2021,12/05/2022,20/04/2023,
781,01101.HK,27/04/2018,29/04/2019,11/05/2020,21/04/2021,21/04/2022,20/04/2023,
782,01862.HK,,23/05/2019,22/05/2020,01/06/2021,25/05/2022,27/04/2023,
783,03836.HK,30/04/2018,30/04/2019,28/04/2020,29/04/2021,20/04/2022,27/04/2023,
784,03330.HK,19/04/2018,25/04/2019,13/05/2020,12/04/2021,14/04/2022,20/04/2023,
785,01000.HK,27/04/2018,30/04/2019,24/04/2020,26/04/2021,28/04/2022,21/04/2023,
786,00834.HK,27/04/2018,29/04/2019,28/04/2020,28/04/2021,28/04/2022,28/04/2023,
787,02866.HK,27/04/2018,26/04/2019,27/04/2020,23/04/2021,27/04/2022,25/04/2023,
788,01565.HK,27/04/2018,25/07/2019,28/07/2020,28/05/2021,31/01/2022,29/12/2022,27/12/2023
789,00593.HK,27/04/2018,30/04/2019,15/05/2020,31/05/2021,26/04/2022,27/04/2023,
790,00387.HK,30/04/2018,30/04/2019,29/04/2020,28/04/2021,29/04/2022,28/04/2023,
791,00708.HK,30/04/2018,26/04/2019,29/04/2020,29/04/2021,11/08/2023,11/08/2023,
792,03983.HK,26/04/2018,24/04/2019,28/04/2020,28/04/2021,29/04/2022,18/04/2023,
793,00076.HK,27/04/2018,,,,,,
794,00136.HK,27/04/2018,26/04/2019,29/04/2020,29/04/2021,29/04/2022,19/04/2023,
795,00422.HK,26/04/2018,29/04/2019,29/04/2020,28/04/2021,28/04/2022,26/04/2023,
796,00575.HK,27/04/2018,18/04/2019,29/04/2020,26/04/2021,26/04/2022,26/04/2023,
797,00623.HK,27/04/2018,26/04/2019,29/04/2020,23/04/2021,25/04/2022,26/04/2023,
798,00289.HK,27/04/2018,29/04/2019,29/04/2020,29/04/2021,26/04/2022,28/04/2023,
799,00166.HK,,23/04/2019,28/04/2020,28/04/2021,28/04/2022,26/04/2023,
800,02608.HK,30/04/2018,30/04/2019,10/07/2020,16/07/2021,31/05/2022,23/11/2023,
801,03333.HK,20/07/2018,30/04/2019,29/04/2020,29/04/2021,16/08/2023,16/08/2023,
802,00286.HK,30/04/2018,26/04/2019,15/05/2020,29/04/2021,29/04/2022,28/04/2023,
803,00776.HK,26/04/2018,23/04/2019,29/04/2020,28/04/2021,26/04/2022,27/04/2023,
804,00176.HK,26/04/2018,26/04/2019,13/05/2020,30/04/2021,29/04/2022,28/04/2023,
805,01635.HK,,,,,,30/03/2023,
806,00758.HK,26/04/2018,26/04/2019,14/05/2020,28/04/2021,26/05/2022,27/04/2023,
807,03886.HK,30/04/2018,17/04/2019,08/04/2020,23/04/2021,27/04/2022,27/04/2023,
808,01993.HK,24/07/2018,05/07/2019,20/07/2020,15/07/2021,30/05/2022,28/04/2023,
809,01766.HK,26/04/2018,25/04/2019,23/04/2020,23/04/2021,19/04/2022,18/04/2023,
810,01129.HK,27/04/2018,29/04/2019,12/05/2020,28/04/2021,27/04/2022,27/04/2023,
811,01026.HK,27/04/2018,29/04/2019,27/04/2020,29/04/2021,29/04/2022,28/04/2023,
812,01011.HK,27/04/2018,29/04/2019,14/05/2020,30/04/2021,30/05/2022,27/04/2023,
813,03313.HK,27/04/2018,29/04/2019,14/05/2020,27/04/2021,13/05/2022,27/04/2023,
814,00875.HK,26/04/2018,29/04/2019,27/04/2020,29/04/2021,13/05/2022,27/04/2023,
815,01189.HK,20/07/2018,26/07/2019,27/07/2020,28/07/2021,31/05/2022,23/06/2023,
816,02330.HK,25/04/2018,24/04/2019,22/04/2020,28/04/2021,31/03/2023,27/04/2023,
817,00055.HK,27/04/2018,29/04/2019,28/04/2020,29/04/2021,27/04/2022,26/04/2023,
818,06108.HK,26/04/2018,23/04/2019,23/04/2020,23/04/2021,26/04/2022,27/04/2023,
819,01418.HK,27/04/2018,26/04/2019,14/05/2020,20/04/2021,28/04/2022,27/04/2023,
820,00487.HK,27/04/2018,29/04/2019,28/04/2020,29/04/2021,28/04/2022,27/04/2023,
821,00564.HK,26/04/2018,29/04/2019,28/04/2020,13/05/2021,26/04/2022,25/04/2023,
822,00718.HK,27/04/2018,29/04/2019,28/04/2020,23/04/2021,28/04/2022,28/04/2023,
823,01196.HK,27/04/2018,26/04/2019,28/04/2020,26/04/2021,28/04/2022,27/04/2023,
824,01596.HK,26/04/2018,24/06/2019,14/05/2020,29/04/2021,26/04/2022,,
825,00600.HK,26/04/2018,29/04/2019,15/05/2020,30/04/2021,,,
826,01357.HK,26/04/2018,26/04/2019,22/04/2020,26/04/2021,28/04/2022,26/04/2023,
827,00360.HK,27/04/2018,29/04/2019,14/05/2020,29/04/2021,29/04/2022,27/04/2023,
828,00512.HK,24/04/2018,29/04/2019,15/05/2020,29/04/2021,25/04/2022,27/04/2023,
829,00905.HK,11/06/2018,05/07/2019,23/04/2020,31/05/2021,20/05/2022,26/04/2023,
830,00209.HK,25/04/2018,04/11/2019,28/04/2020,27/04/2021,13/05/2022,27/04/2023,
831,00840.HK,27/04/2018,,14/05/2020,22/06/2021,03/05/2022,27/04/2023,
832,01555.HK,26/04/2018,14/05/2019,11/12/2020,29/04/2021,29/04/2022,20/12/2023,
833,00337.HK,,29/04/2019,28/04/2020,29/04/2021,29/04/2022,28/04/2023,
834,00007.HK,27/04/2018,29/04/2019,12/08/2020,27/04/2022,28/04/2022,27/04/2023,
835,01069.HK,30/04/2018,26/04/2019,14/05/2020,,21/02/2023,18/04/2023,30/10/2023
836,00091.HK,26/04/2018,29/04/2019,,,27/04/2022,26/04/2023,
837,00235.HK,27/04/2018,29/04/2019,28/04/2020,28/04/2021,28/04/2022,27/04/2023,
