,stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
2432,40075.HK,,,,,06/04/2022,17/04/2023,
2433,40699.HK,,,,,06/04/2022,17/04/2023,
2434,40700.HK,,,,,06/04/2022,17/04/2023,
2435,08452.HK,,,,,04/04/2022,,
2436,40580.HK,,,,,04/04/2022,03/04/2023,
2437,40685.HK,,,,,04/04/2022,03/04/2023,
2438,40526.HK,,,,,31/03/2022,,
2439,40761.HK,,,,,31/03/2022,,
2440,04432.HK,,,,,29/03/2022,29/03/2023,
2441,40724.HK,,,,,25/03/2022,24/03/2023,
2442,02678.HK,,,,,25/03/2022,20/04/2023,
2443,02175.HK,,,,,24/01/2022,,
2444,00073.HK,,,,,,30/10/2023,
2445,02442.HK,,,,,,,16/10/2023
2446,80016.HK,,,,,,04/10/2023,
2447,00759.HK,,,,,,24/08/2023,
2448,02436.HK,,,,,,31/07/2023,
2449,09669.HK,,,,,,,27/07/2023
2450,02421.HK,,,,,,27/07/2023,
2451,01489.HK,,,,,,27/07/2023,
2452,02350.HK,,,,,,20/07/2023,
2453,06080.HK,,,,,,,19/07/2023
2454,08297.HK,,,,,,14/07/2023,
2455,01609.HK,,,,,,,12/07/2023
2456,08060.HK,,,,,,29/06/2023,
2457,08509.HK,,,,,,,29/06/2023
2458,08001.HK,,,,,,29/06/2023,
2459,02888.HK,,,,,,10/05/2023,
2460,02439.HK,,,,,,28/04/2023,
2461,02390.HK,,,,,,28/04/2023,
2462,02411.HK,,,,,,28/04/2023,
2463,09955.HK,,,,,,28/04/2023,
2464,01405.HK,,,,,,28/04/2023,
2465,02415.HK,,,,,,28/04/2023,
2466,03611.HK,,,,,,28/04/2023,
2467,09696.HK,,,,,,28/04/2023,
2468,01863.HK,,,,,,28/04/2023,
2469,02433.HK,,,,,,28/04/2023,
2470,02167.HK,,,,,,28/04/2023,
2471,02376.HK,,,,,,28/04/2023,
2472,06979.HK,,,,,,28/04/2023,
2473,01244.HK,,,,,,28/04/2023,
2474,02372.HK,,,,,,28/04/2023,
2475,06689.HK,,,,,,28/04/2023,
2476,02310.HK,,,,,,28/04/2023,
2477,01548.HK,,,,,,28/04/2023,
2478,04855.HK,,,,,,28/04/2023,
2479,07855.HK,,,,,,28/04/2023,
2480,02409.HK,,,,,,28/04/2023,
2481,02427.HK,,,,,,27/04/2023,
2482,09688.HK,,,,,,27/04/2023,
2483,02402.HK,,,,,,27/04/2023,
2484,03896.HK,,,,,,27/04/2023,
2485,06667.HK,,,,,,27/04/2023,
2486,03660.HK,,,,,,27/04/2023,
2487,02076.HK,,,,,,27/04/2023,
2488,06661.HK,,,,,,27/04/2023,
2489,03931.HK,,,,,,27/04/2023,
2490,06696.HK,,,,,,27/04/2023,
2491,02457.HK,,,,,,27/04/2023,
2492,09985.HK,,,,,,27/04/2023,
2493,04801.HK,,,,,,27/04/2023,
2494,07801.HK,,,,,,27/04/2023,
2495,06610.HK,,,,,,27/04/2023,
2496,02450.HK,,,,,,27/04/2023,
2497,02392.HK,,,,,,27/04/2023,
2498,02482.HK,,,,,,27/04/2023,
2499,09857.HK,,,,,,27/04/2023,
2500,02227.HK,,,,,,27/04/2023,
2501,02407.HK,,,,,,27/04/2023,
