file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
2022_00058.pdf,4,12,71,9,6,3,10,3,1,0,0,0,1,7,8,3,12,7,6,41,31,60,00058.pdf,100
2022_00094.pdf,6,10,75,9,3,3,5,2,3,33,33,0,3,7,5,2,13,7,3,52,38,51,00094.pdf,100
2022_02212.pdf,10,16,69,15,8,14,10,2,0,0,0,0,0,13,16,2,18,11,8,51,39,53,02212.pdf,100
2022_00910.pdf,5,10,73,11,5,6,7,1,0,0,0,0,0,9,8,1,12,7,5,50,30,49,00910.pdf,100
2022_08226.pdf,5,10,73,8,8,5,9,2,8,0,0,4,8,4,9,2,9,8,8,43,38,62,08226.pdf,100
2022_01631.pdf,8,14,70,11,7,6,10,3,4,0,0,0,4,8,9,3,18,10,7,45,42,61,01631.pdf,100
2022_01866.pdf,14,13,78,19,6,7,13,1,0,0,0,4,0,17,13,1,12,19,6,70,45,34,01866.pdf,100
2022_08229.pdf,4,6,78,6,3,2,5,0,1,0,0,0,1,6,4,0,9,5,3,53,45,53,08229.pdf,100
2022_02165.pdf,5,11,72,10,7,5,8,1,0,0,0,0,0,7,9,1,13,10,7,43,35,59,02165.pdf,100
2022_06999.pdf,6,13,71,11,6,5,10,1,4,0,0,0,4,11,13,1,14,10,6,45,34,56,06999.pdf,100
2022_00305.pdf,20,21,72,29,11,18,15,2,4,0,0,9,4,17,22,2,25,19,11,66,42,36,00305.pdf,100
2022_09869.pdf,18,26,63,22,9,13,11,1,0,0,0,0,0,14,23,1,22,20,9,52,51,58,09869.pdf,100
2022_01446.pdf,8,16,68,17,10,8,18,8,6,0,0,9,6,7,12,8,18,16,10,52,31,47,01446.pdf,100
2022_01039.pdf,8,16,68,17,10,13,14,5,0,0,0,0,0,8,11,5,15,10,10,51,29,46,01039.pdf,100
2022_09977.pdf,16,20,70,30,9,10,19,6,1,0,0,0,1,16,14,6,13,19,9,65,33,33,09977.pdf,100
2022_00093.pdf,7,14,70,11,9,5,12,3,0,0,0,0,0,5,13,3,14,12,9,42,39,63,00093.pdf,100
2022_02799.pdf,29,34,62,42,12,8,12,3,4,0,0,19,4,12,8,3,31,29,12,63,42,39,02799.pdf,100
2022_01085.pdf,13,20,67,25,13,7,16,6,6,0,0,0,6,12,19,6,26,17,13,58,32,40,01085.pdf,100
2022_02192.pdf,8,17,67,20,5,4,6,1,0,0,0,0,0,6,8,1,14,16,5,53,24,42,02192.pdf,100
2022_01733.pdf,22,30,61,30,11,11,20,4,4,0,0,0,4,15,32,4,33,28,11,56,44,49,01733.pdf,100
2022_08296.pdf,5,8,77,11,4,2,7,1,0,0,0,0,0,7,6,1,15,11,4,60,31,37,08296.pdf,100
2022_01558.pdf,25,37,54,34,13,8,21,6,9,0,0,0,9,23,28,6,32,28,13,53,45,53,01558.pdf,100
2022_00119.pdf,13,19,68,24,11,10,12,2,3,0,0,0,3,7,19,2,22,18,11,60,33,39,00119.pdf,100
2022_00905.pdf,6,9,75,8,6,5,8,2,1,0,0,0,1,8,7,2,10,7,6,49,47,59,00905.pdf,100
2022_01338.pdf,5,11,73,11,4,2,7,3,3,0,0,0,3,6,8,3,10,10,4,51,31,48,01338.pdf,100
2022_06958.pdf,29,21,80,38,11,10,14,6,3,0,0,4,3,22,14,6,35,30,11,75,47,28,06958.pdf,100
