stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
01114.HK,NA,NA,NA,08/09/2022,NA,NA,NA
00645.HK,NA,NA,NA,07/09/2022,NA,NA,NA
08516.HK,NA,NA,NA,NA,NA,05/09/2022,NA
08412.HK,NA,NA,NA,NA,NA,02/09/2022,NA
08130.HK,NA,NA,NA,NA,NA,01/09/2022,NA
08431.HK,NA,NA,NA,NA,01/09/2022,NA,NA
00213.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00164.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00973.HK,NA,NA,NA,NA,NA,31/08/2022,NA
08096.HK,NA,NA,NA,NA,NA,31/08/2022,NA
01050.HK,NA,NA,NA,NA,31/08/2022,NA,NA
01566.HK,NA,NA,NA,NA,31/08/2022,NA,NA
00151.HK,NA,NA,NA,NA,31/08/2022,NA,NA
00959.HK,NA,NA,NA,NA,NA,31/08/2022,NA
02189.HK,NA,NA,NA,NA,NA,31/08/2022,NA
01703.HK,NA,NA,NA,NA,NA,31/08/2022,NA
08447.HK,NA,NA,NA,NA,NA,31/08/2022,NA
01660.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00374.HK,NA,NA,NA,NA,NA,31/08/2022,NA
08299.HK,NA,NA,NA,NA,31/08/2022,NA,NA
01723.HK,NA,NA,NA,NA,NA,31/08/2022,NA
08367.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00060.HK,NA,NA,NA,NA,NA,31/08/2022,NA
08620.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00030.HK,NA,NA,NA,NA,31/08/2022,NA,NA
01709.HK,NA,NA,NA,NA,31/08/2022,NA,NA
08300.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00328.HK,NA,NA,NA,NA,NA,31/08/2022,NA
08029.HK,NA,NA,NA,NA,31/08/2022,NA,NA
01830.HK,NA,NA,NA,NA,NA,31/08/2022,NA
01173.HK,NA,NA,NA,NA,NA,31/08/2022,NA
01229.HK,NA,NA,NA,NA,31/08/2022,NA,NA
00375.HK,NA,NA,NA,NA,31/08/2022,NA,NA
00391.HK,NA,NA,NA,NA,NA,31/08/2022,NA
01443.HK,NA,NA,NA,NA,NA,31/08/2022,NA
01348.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00919.HK,NA,NA,NA,NA,31/08/2022,NA,NA
00022.HK,NA,NA,NA,NA,NA,31/08/2022,NA
02217.HK,NA,NA,NA,NA,31/08/2022,NA,NA
00736.HK,NA,NA,NA,NA,31/08/2022,NA,NA
00040.HK,NA,NA,NA,NA,31/08/2022,NA,NA
01653.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00674.HK,NA,NA,NA,NA,NA,31/08/2022,NA
01539.HK,NA,NA,NA,NA,31/08/2022,NA,NA
00794.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00948.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00104.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00455.HK,NA,NA,NA,NA,NA,NA,NA
00399.HK,NA,NA,NA,NA,31/08/2022,NA,NA
00262.HK,NA,NA,NA,NA,NA,31/08/2022,NA
01667.HK,NA,NA,NA,NA,31/08/2022,NA,NA
